model_id,mean_residual_deviance,rmse,mse,mae,rmsle
StackedEnsemble_AllModels_AutoML_20190411_131240,2.61928e-05,0.0051178857,2.61928e-05,0.0008582702,0.0036452285
GBM_1_AutoML_20190411_132754,2.87709e-05,0.005363854,2.87709e-05,0.0009891487,0.0039719619
GBM_2_AutoML_20190411_131240,5.90756e-05,0.0076860647,5.90756e-05,0.0019002473,0.0060676824
GBM_4_AutoML_20190411_132754,6.3129e-05,0.0079453747,6.3129e-05,0.0014880459,0.005690584
GBM_grid_1_AutoML_20190411_131240_model_6,7.38113e-05,0.0085913477,7.38113e-05,0.0024862783,0.0066596797
DRF_1_AutoML_20190411_131240,7.72023e-05,0.0087864853,7.72023e-05,0.0006138764,0.0060444418
GBM_grid_1_AutoML_20190411_131240_model_4,8.75658e-05,0.0093576615,8.75658e-05,0.0034834458,0.00761425
GBM_grid_1_AutoML_20190411_132754_model_8,0.0001013893,0.0100692273,0.0001013893,0.0029101498,0.007911731
GBM_grid_1_AutoML_20190411_132754_model_3,0.0001291333,0.0113636834,0.0001291333,0.0048981006,0.0094889151
GBM_grid_1_AutoML_20190411_132754_model_7,0.0001327412,0.0115213374,0.0001327412,0.0050381144,0.009095517
GBM_grid_1_AutoML_20190411_131240_model_1,0.0001606736,0.0126757086,0.0001606736,0.0059996598,0.0097238087
GBM_grid_1_AutoML_20190411_132754_model_4,0.0001645689,0.0128284406,0.0001645689,0.0038078166,0.0098528779
StackedEnsemble_BestOfFamily_AutoML_20190411_131240,3.06273e-05,0.0055341908,3.06273e-05,0.0010416154,0.0038514126
GBM_grid_1_AutoML_20190411_131240_model_2,0.0002211288,0.0148703991,0.0002211288,0.0078972173,0.0114006745
GBM_grid_1_AutoML_20190411_131240_model_5,0.0002394035,0.0154726686,0.0002394035,0.0089914725,0.011971304
GBM_grid_1_AutoML_20190411_132754_model_5,0.0003671552,0.0191612949,0.0003671552,0.0122239319,0.0147323328
GBM_grid_1_AutoML_20190411_131240_model_7,0.0003847033,0.0196138541,0.0003847033,0.0095447779,0.0152318762
GBM_5_AutoML_20190411_131240,0.0005077544,0.022533406,0.0005077544,0.0099547528,0.0181512506
GBM_5_AutoML_20190411_132754,0.0006696661,0.0258779077,0.0006696661,0.0121438318,0.0194445354
GBM_grid_1_AutoML_20190411_132754_model_2,0.0024211646,0.0492053309,0.0024211646,0.021684285,0.0361043801
XRT_1_AutoML_20190411_131240,0.0024888416,0.0498882908,0.0024888416,0.0259360314,0.0321044145
DeepLearning_1_AutoML_20190411_131240,0.0047212965,0.068711691,0.0047212965,0.0386940361,0.0489672269
DeepLearning_1_AutoML_20190411_132754,0.0052548824,0.0724905675,0.0052548824,0.0419395876,0.0544388492
GBM_grid_1_AutoML_20190411_131240_model_3,3.11415e-05,0.0055804567,3.11415e-05,0.0004749563,0.0039393504
XRT_1_AutoML_20190411_132754,0.0054076567,0.073536771,0.0054076567,0.0419000062,0.0441755316
GBM_grid_1_AutoML_20190411_132754_model_6,0.0073263673,0.0855942011,0.0073263673,0.0838718625,0.0651634088
GBM_grid_1_AutoML_20190411_132754_model_9,0.0074414822,0.0862640262,0.0074414822,0.0782241912,0.0646780847
GBM_grid_1_AutoML_20190411_132754_model_1,0.0085989269,0.0927303991,0.0085989269,0.064356637,0.0670693257
DeepLearning_grid_1_AutoML_20190411_132754_model_1,0.0187352397,0.1368767317,0.0187352397,0.095833037,0.0931666608
GBM_grid_1_AutoML_20190411_131240_model_8,0.0301994841,0.1737799876,0.0301994841,0.1679551553,0.1289032507
DeepLearning_grid_1_AutoML_20190411_131240_model_1,0.0332628798,0.1823811389,0.0332628798,0.1223339829,0.123692026
DeepLearning_grid_1_AutoML_20190411_131240_model_4,0.0448311006,0.2117335604,0.0448311006,0.1185771996,0.1494968939
GLM_grid_1_AutoML_20190411_132754_model_1,0.0492323594,0.2218836619,0.0492323594,0.1496825558,0.1597691376
GLM_grid_1_AutoML_20190411_131240_model_1,0.0492323594,0.2218836619,0.0492323594,0.1496825558,0.1597691376
GBM_1_AutoML_20190411_131240,3.25399e-05,0.0057043778,3.25399e-05,0.0010305725,0.0044287823
DeepLearning_grid_1_AutoML_20190411_131240_model_6,0.0508423818,0.2254825532,0.0508423818,0.152281118,0.1362042789
DeepLearning_grid_1_AutoML_20190411_131240_model_9,0.0573031885,0.2393808441,0.0573031885,0.1192209488,0.1620188434
DeepLearning_grid_1_AutoML_20190411_132754_model_5,0.0622413701,0.249482204,0.0622413701,0.1919662643,0.1644443618
DeepLearning_grid_1_AutoML_20190411_132754_model_4,0.0644358984,0.2538422707,0.0644358984,0.154810331,0.1761375266
DeepLearning_grid_1_AutoML_20190411_131240_model_7,0.0645185686,0.2540050562,0.0645185686,0.1874048242,0.1662925305
DeepLearning_grid_1_AutoML_20190411_132754_model_7,0.0651926699,0.2553285528,0.0651926699,0.1960124451,0.1674935065
DeepLearning_grid_1_AutoML_20190411_131240_model_2,0.0781642289,0.2795786632,0.0781642289,0.1655252914,
DeepLearning_grid_1_AutoML_20190411_131240_model_8,0.0887062132,0.2978358829,0.0887062132,0.2103274724,0.2132842815
GBM_grid_1_AutoML_20190411_132754_model_10,0.092302883,0.3038138954,0.092302883,0.3023367749,0.2199011233
DeepLearning_grid_1_AutoML_20190411_132754_model_3,0.0999406033,0.3161338377,0.0999406033,0.1960077947,0.2202604374
GBM_4_AutoML_20190411_131240,3.64156e-05,0.0060345372,3.64156e-05,0.0011946204,0.004442001
DeepLearning_grid_1_AutoML_20190411_131240_model_3,0.1013828917,0.3184068022,0.1013828917,0.1641652182,0.1987827297
DeepLearning_grid_1_AutoML_20190411_132754_model_6,0.1258707812,0.354782724,0.1258707812,0.2075757443,0.2435071531
GBM_grid_1_AutoML_20190411_132754_model_11,0.1331118202,0.3648449262,0.1331118202,0.3645642827,0.2612930294
GBM_grid_1_AutoML_20190411_131240_model_9,0.1616178629,0.402017242,0.1616178629,0.4016015324,0.2862835018
DeepLearning_grid_1_AutoML_20190411_132754_model_2,0.165829628,0.4072218412,0.165829628,0.2555278763,0.2869717268
GBM_grid_1_AutoML_20190411_131240_model_12,0.203568407,0.4511855572,0.203568407,0.4508832504,0.3191109784
GBM_grid_1_AutoML_20190411_131240_model_11,0.216663121,0.4654708595,0.216663121,0.4651347009,0.3286263033
DeepLearning_grid_1_AutoML_20190411_131240_model_5,0.2358079691,0.4856006272,0.2358079691,0.3313076857,0.3114470165
GBM_grid_1_AutoML_20190411_131240_model_10,0.2401330225,0.4900336952,0.2401330225,0.4897019677,0.3449738433
GBM_grid_1_AutoML_20190411_132754_model_12,0.2463499303,0.4963365091,0.2463499303,0.4960078905,0.3491661134
GBM_3_AutoML_20190411_131240,3.76499e-05,0.0061359546,3.76499e-05,0.0015078167,0.004413378
GBM_3_AutoML_20190411_132754,3.99913e-05,0.0063238702,3.99913e-05,0.0014476679,0.0047357648
DRF_1_AutoML_20190411_132754,4.46032e-05,0.0066785604,4.46032e-05,0.0004174108,0.0046646748
GBM_2_AutoML_20190411_132754,5.67349e-05,0.0075322541,5.67349e-05,0.0019402575,0.0060086823
